Year,State,Description,Units,type,Chemical Name,Value,CV (%),Carcinogen,Hormone Disruptor,Neurotoxins,Developmental or Reproductive Toxins,Bee Toxins,Human Toxins
2019,CALIFORNIA, MEASURED IN NUMBER, AVG, OTHER,METAM-POTASSIUM,1.1,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN NUMBER, AVG, OTHER,METAM-SODIUM,1.3,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN NUMBER, AVG, OTHER,PAECILOMYCES FUMOSOR,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN NUMBER, AVG, OTHER,PEROXYACETIC ACID,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN NUMBER, AVG, OTHER,POTASSIUM SILICATE,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN NUMBER, AVG, OTHER,REYNOUTRIA SACHALINE,1.2,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN NUMBER, AVG, OTHER,TRICHODERMA VIRENS STRAIN G-41,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN NUMBER, AVG,NA,NITROGEN,9.9,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN NUMBER, AVG,NA,PHOSPHATE,11.3,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN NUMBER, AVG,NA,POTASH,14.3,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN NUMBER, AVG,NA,SULFUR,8.2,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,AZOXYSTROBIN,34,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,BACILLUS AMYLOLIQUEFACIENS MBI 600,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,BACILLUS AMYLOLIQUEFACIENS STRAIN D747,26,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,BACILLUS PUMILUS,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,BACILLUS SUBT. GB03,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,BACILLUS SUBTILIS,8,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,BLAD,6,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,BORAX DECAHYDRATE,18,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,BOSCALID,34,NA,POSSIBLE,POSSIBLE,NA,NA,NA,SLIGHT
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,BT SUBSP KURSTAKI EVB-113-19,7,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,CAPTAN,76,NA,KNOWN,KNOWN,NA,NA,NA,HIGH
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,COPPER HYDROXIDE,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,COPPER OCTANOATE,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,CYFLUFENAMID,30,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,CYPRODINIL,61,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,DIFENOCONAZOLE,10,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,FENHEXAMID,36,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,FLUDIOXONIL,61,NA,NA,NA,NA,NA,SLIGHT,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,FLUOPYRAM,48,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,FLUXAPYROXAD,30,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,FOSETYL-AL,5,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,ISOFETAMID,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,MEFENOXAM,21,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,MONO-POTASSIUM SALT,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,MYCLOBUTANIL,56,NA,NA,NA,NA,PRESENT,NA,HIGH
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,PENTHIOPYRAD,31,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,POLYOXIN D ZINC SALT,26,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,POTASSIUM BICARBON.,11,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,PROPICONAZOLE,25,NA,POSSIBLE,POSSIBLE,NA,PRESENT,SLIGHT,HIGH
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,PYRACLOSTROBIN,65,NA,NA,NA,NA,NA,SLIGHT,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,PYRIMETHANIL,29,NA,POSSIBLE,POSSIBLE,NA,NA,SLIGHT,MODERATE
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,QUINOLINE,51,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,STREPTOMYCES LYDICUS,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,SULFUR,72,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,TETRACONAZOLE,30,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,THIOPHANATE-METHYL,9,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,THIRAM,50,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,TOTAL,93,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,TRICHODERMA HARZ.,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,TRIFLOXYSTROBIN,50,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, FUNGICIDE,TRIFLUMIZOLE,37,NA,NA,NA,NA,NA,SLIGHT,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, HERBICIDE,CARFENTRAZONE-ETHYL,6,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, HERBICIDE,FLUMIOXAZIN,14,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, HERBICIDE,GLUFOSINATE-AMMONIUM,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, HERBICIDE,GLYPHOSATE ISO. SALT,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, HERBICIDE,GLYPHOSATE POT. SALT,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, HERBICIDE,"NAPROPAMIDE",(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, HERBICIDE,OXYFLUORFEN,9,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, HERBICIDE,PARAQUAT,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, HERBICIDE,PENDIMETHALIN,8,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, HERBICIDE,SULFENTRAZONE,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, HERBICIDE,TOTAL,20,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,ABAMECTIN,35,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,ACEQUINOCYL,32,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,ACETAMIPRID,42,NA,NA,NA,NA,NA,MODERATE,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,AZADIRACHTIN,25,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,BEAUVERIA BASSIANA,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,BIFENAZATE,51,NA,NA,NA,NA,NA,MODERATE,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,BIFENTHRIN,58,NA,POSSIBLE,POSSIBLE,NA,PRESENT,HIGH,HIGH
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,BT KURSTAK ABTS-1857,43,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,BT KURSTAKI ABTS-351,24,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,BT KURSTAKI SA-11,37,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,BT SUB AIZAWAI GC-91,5,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,BUPROFEZIN,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,BURKHOLDERIA A396 CELLS & MEDIA,2,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,CARBARYL,(D),NA,KNOWN,KNOWN,PRESENT,PRESENT,HIGH,HIGH
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,CHLORANTRANILIPROLE,44,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,CHLORPYRIFOS,(D),NA,NA,NA,PRESENT,NA,HIGH,HIGH
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA,19,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,CYANTRANILIPROLE,11,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,CYFLUMETOFEN,48,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,ETOXAZOLE,6,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,FENBUTATIN-OXIDE,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,FENPROPATHRIN,31,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,FENPYROXIMATE,9,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,FLONICAMID,57,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,FLUPYRADIFURONE,34,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,HELICOVERPA ZEA NPV,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,HEXYTHIAZOX,24,NA,PROBABLE,PROBABLE,NA,NA,NA,SLIGHT
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,IMIDACLOPRID,12,NA,NA,NA,NA,NA,HIGH,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,MALATHION,28,NA,POSSIBLE,POSSIBLE,PRESENT,NA,HIGH,HIGH
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,METHOXYFENOZIDE,37,NA,NA,NA,NA,NA,SLIGHT,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,"NALED",21,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,NEEM OIL,9,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,"NEEM OIL, CLAR. HYD.",18,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,NOVALURON,66,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,PIPERONYL BUTOXIDE,4,NA,POSSIBLE,POSSIBLE,NA,NA,MODERATE,MODERATE
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,POTASSIUM SALTS,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,PYRETHRINS,8,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,PYRIDABEN,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,PYRIPROXYFEN,5,NA,NA,NA,NA,NA,SLIGHT,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,SOYBEAN OIL,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,SPINETORAM,58,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,SPINOSAD,15,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,SPIROMESIFEN,17,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,SULFOXAFLOR,20,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,THIAMETHOXAM,24,NA,NA,NA,NA,NA,HIGH,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,TOTAL,91,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, INSECTICIDE,ZETA-CYPERMETHRIN,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, OTHER,ACIBENZOLAR-S-METHYL,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, OTHER,AUREOBASIDIUM PULLULANS DSM 14940,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, OTHER,AUREOBASIDIUM PULLULANS DSM 14941,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, OTHER,BT KURSTAKI SA-12,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, OTHER,CAPRIC ACID,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, OTHER,CAPRYLIC ACID,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, OTHER,CHLOROPICRIN,49,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, OTHER,DICHLOROPROPENE,23,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, OTHER,FLUTRIAFOL,25,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, OTHER,GLIOCLADIUM VIRENS,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, OTHER,HYDROGEN PEROXIDE,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, OTHER,IRON PHOSPHATE,2,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, OTHER,METALDEHYDE,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, OTHER,METAM-POTASSIUM,3,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, OTHER,METAM-SODIUM,2,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, OTHER,PAECILOMYCES FUMOSOR,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, OTHER,PEROXYACETIC ACID,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, OTHER,POTASSIUM SILICATE,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, OTHER,REYNOUTRIA SACHALINE,7,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, OTHER,TOTAL,63,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG, OTHER,TRICHODERMA VIRENS STRAIN G-41,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG,NA,NITROGEN,98,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG,NA,PHOSPHATE,49,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG,NA,POTASH,49,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN PCT OF AREA BEARING, AVG,NA,SULFUR,30,NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, FUNGICIDE,AZOXYSTROBIN,"12,000",NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, FUNGICIDE,BACILLUS SUBTILIS,(NA),NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, FUNGICIDE,CAPTAN,"146,100",NA,KNOWN,KNOWN,NA,NA,NA,HIGH
2019,FLORIDA, MEASURED IN LB,NA, FUNGICIDE,COPPER CHLORIDE HYD.,(D),NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, FUNGICIDE,COPPER HYDROXIDE,(D),NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, FUNGICIDE,CYFLUFENAMID,(D),NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, FUNGICIDE,CYPRODINIL,"4,100",NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, FUNGICIDE,DIFENOCONAZOLE,(D),NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, FUNGICIDE,DODINE,(D),NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, FUNGICIDE,FENHEXAMID,(D),NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, FUNGICIDE,FLUDIOXONIL,"2,700",NA,NA,NA,NA,NA,SLIGHT,NA
2019,FLORIDA, MEASURED IN LB,NA, FUNGICIDE,FLUTOLANIL,(D),NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, FUNGICIDE,FLUXAPYROXAD,(D),NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, FUNGICIDE,FOSETYL-AL,(D),NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, FUNGICIDE,ISOFETAMID,(D),NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, FUNGICIDE,MEFENOXAM,(D),NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, FUNGICIDE,MONO-POTASSIUM SALT,(D),NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, FUNGICIDE,MYCLOBUTANIL,(D),NA,NA,NA,NA,PRESENT,NA,HIGH
2019,FLORIDA, MEASURED IN LB,NA, FUNGICIDE,PENTHIOPYRAD,(D),NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, FUNGICIDE,PYRACLOSTROBIN,(D),NA,NA,NA,NA,NA,SLIGHT,NA
2019,FLORIDA, MEASURED IN LB,NA, FUNGICIDE,PYRIMETHANIL,(D),NA,POSSIBLE,POSSIBLE,NA,NA,SLIGHT,MODERATE
2019,FLORIDA, MEASURED IN LB,NA, FUNGICIDE,SULFUR,(D),NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, FUNGICIDE,TETRACONAZOLE,(D),NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, FUNGICIDE,THIOPHANATE-METHYL,"10,200",NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, FUNGICIDE,THIRAM,"54,800",NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, FUNGICIDE,TOTAL,"286,900",NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, FUNGICIDE,TRIFLUMIZOLE,(D),NA,NA,NA,NA,NA,SLIGHT,NA
2019,FLORIDA, MEASURED IN LB,NA, HERBICIDE,"2,4-D, DIMETH. SALT",(D),NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, HERBICIDE,"2,4-D, TRIISO. SALT",(D),NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, HERBICIDE,GLYPHOSATE ISO. SALT,(D),NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, HERBICIDE,GLYPHOSATE POT. SALT,(D),NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, HERBICIDE,PARAQUAT,(D),NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, HERBICIDE,TOTAL,300,NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, INSECTICIDE,ABAMECTIN,300,NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, INSECTICIDE,ACETAMIPRID,200,NA,NA,NA,NA,NA,MODERATE,NA
2019,FLORIDA, MEASURED IN LB,NA, INSECTICIDE,BIFENAZATE,700,NA,NA,NA,NA,NA,MODERATE,NA
2019,FLORIDA, MEASURED IN LB,NA, INSECTICIDE,BIFENTHRIN,300,NA,POSSIBLE,POSSIBLE,NA,PRESENT,HIGH,HIGH
2019,FLORIDA, MEASURED IN LB,NA, INSECTICIDE,BT KURSTAKI ABTS-351,(NA),NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, INSECTICIDE,CHLORANTRANILIPROLE,100,NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, INSECTICIDE,CYANTRANILIPROLE,(D),NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, INSECTICIDE,CYFLUMETOFEN,(D),NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, INSECTICIDE,CYPERMETHRIN,(D),NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, INSECTICIDE,FENPYROXIMATE,(D),NA,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN LB,NA, INSECTICIDE,HEXYTHIAZOX,(D),NA,PROBABLE,PROBABLE,NA,NA,NA,SLIGHT
